policy_name,control_id,control_statement,category,severity,evidence_required,review_frequency,evidence_owner,source_doc_title,source_page,source_controls_file
Data Classification,QCB-DC-P1-I0,VERSION3.0 MAY NATIONAL DATA CLASSIFICATION POLICY [IAP-NAT-DCLS],Data Classification,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,1,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P3-I2,Any reproduction of the present document either in part or full and irrespective of the means of reproduction; shall acknowledge NCSA as the source and owner of the “National Data Classification Policy”.,Data Ownership and Licensing,Medium,Policy / procedure / configuration / logs / report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,3,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P3-I3,Any reproduction concerning this document with intent of commercialization shall seek a written authorization from the NCSA.,Data Privacy,High,Policy / procedure / configuration / logs / report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,3,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P3-I4,NCSA shall reserve the right to assess the functionality and applicability of all such reproductions developed for commercial intent.,Data Protection,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,3,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P3-I5,The authorization from NCSA shall not be construed as an endorsement of the developed reproduction and the developer shall in no way publicize or misinterpret this in any form of media or personal / social discussions.,Data Protection,High,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,3,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P4-I1,Abstract Review/Approval DateVersionReviewed/ApprovedDept./RoleName May 20233.0 National Cyber Governance and Assurance Affairs Director of National Cyber Governance and Assurance Affairs Revision History DateRevision DescriptionAuthor(s)Version January 2010 PublishedictQATAR1.0 February 2014PublishedMOTC2.0 May 2023PublishedNCSA – National Cyber Governance & Assurance Affairs3.0,Document Management,Low,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,4,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P5-I7,"In the event, a conflict arises between this document (specific provision or clauses) and the laws of Qatar, the latter (law), shall take precedence.",Legal,High,Policy / procedure / configuration / logs / report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,5,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P5-I8,"Any such term (specific provision or clauses), to that extent shall be deemed omitted from this document, without affecting the remaining provisions of this document.",Contract Management,Low,Policy / procedure / configuration / logs / report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,5,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P5-I9,Amendments in that case shall then be required to ensure compliance with the relevant applicable laws of the State of Qatar.,Legal Compliance,High,Policy / procedure / configuration / logs / report,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,5,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
Data Classification,QCB-DC-P7-I6,"Therefore, the need for data management is the cornerstone that organizations must implement by having a comprehensive overview and establishing the foundations for managing data in a business environment.",Data Governance,Medium,Board-approved policy / committee minutes / approval record,Annual,Compliance / Control Owner,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,7,ncsa_csga_national_data_classification_policy_en_v3.0_controls.json
