policy_name,control_id,control_statement,implementation_task,owner,status,evidence_link,source_doc_title,source_page,source_controls_file
Data handling and privacy policy,QCB-Data-Handling-P4-I8,Sensitive Financial Information must be classified as per a Financial Institution’s highest classification tier.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,4,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P4-I14,"Introduction As data is a cornerstone of financial operations, the secure handling and protection of sensitive information is a critical activity financial institutions must undertake.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,4,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P5-I1,"Organizational Governance 4.1 All data collected, stored, or processed by a Financial Institution or through a Third Party on behalf of a Financial Institution must be handled in accordance with QCB Law, this regulation, the Qatar Data Privacy Protection Law and any other relevant laws and regulations.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P5-I2,"4.2 A Financial Institution must establish a dedicated data governance business unit, or assign it to an existing function.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P5-I8,"4.3 A Financial Institution may establish a data governance committee with representation from senior management, risk, information technology, information security, legal and compliance as well as other relevant functions.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P5-I9,Such a committee may engage in tasks including: 4.3.1 Reviewing data privacy and protection risks.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P5-I12,"4.4 A Financial Institution must appoint a Data Privacy Officer (DPO) who possesses the necessary knowledge and experience in data privacy, notifying QCB of the appointed DPO and submit the required Fit and Proper Form as per QCB Licensing Regulations.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P5-I13,"1 A Financial Institution may appoint a DPO to an existing role, ensuring that it is independent of conflicts of interests and operate independently without being directed in the performance of their tasks.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P5-I14,2 A Financial Institution must ensure that the DPO is not involved within Financial Institution operations.,Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation_controls.json
Data handling and privacy policy,QCB-Data-Handling-P5-I15,"3 A Foreign Financial Institution may appoint a DPO based within their headquarters, ensuring that a Qatar-based representative is assigned responsibility to liaise and facilitate in order to ensure data privacy and protection requirements are met consistently.",Define approach and implement control (tech + ops).,TBD,Not started,TBD,Data Handling and Protection Regulation.pdf,5,data_handling_and_protection_regulation_controls.json
