control_id,type,topic,clause,statement,doc_title,page,doc_id
QCB-Personal-Data-Privacy-P3-I0,SHALL,General,,"This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter One Definitions and General Provisions Article (1) For the implementation of the provisions hereof, the following terms and words shall have such meanings assigned to the same, unless otherwise required by context: Ministry: Ministry of Transport and Communications.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,3,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P3-I5,MAY,Data Protection,,"Controller: a natural or legal person who, whether acting individually or jointly with others, determines how Personal Data may be processed and determines the purpose(s) of any suc h processing Personal Data Processing.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,3,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P5-I4,SHALL,Data Protection,,"Article (2) Provisions hereof shall apply to Personal Data when it is electronically processed, or obtained, gathered or extracted in preparation in any other way for electronic processing, or w hen processed via a combination of electronic and traditional processing.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,5,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P5-I5,SHALL,Data Protection,,"Provisions hereof shall not apply to Personal Data processed by individuals within a private or a family scope, or to any Personal Data processed for the purpose of obtaining official statistical data as per provisions of the referred to law No (2) of 2011.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,5,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P6-I0,SHALL,Data Protection,,"This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter Two Rights of Individuals Article (3) Each Individual has the right to the protection of the Personal Data thereof that shall be processed only within the framework of transparency, honesty, and respect of human dignity, and acceptable practices according to provisions hereof.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,6,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P6-I1,SHALL,Data Protection,,"Article (4) The Controller shall process Personal Data only after obtaining the consent of the Individual, unless data processing is necessar y to achieve a Lawful Purpose for the Controller or the other recipient of such data.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,6,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P7-I3,SHALL,General,,A request so made shall be accompanied with proof of the accuracy of such request.,Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,7,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P7-I9,SHALL,Data Protection,,Obtain a copy of the Personal Data thereof after paying an amount that shall not exceed the service charge.,Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,7,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P7-I10,SHALL,General,,"Article (7) The controls and procedures, related to individuals’ exercise of rights provided for in the two preceding Articles , shall be specified by a decision of the Minister.",Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,7,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
QCB-Personal-Data-Privacy-P8-I0,SHALL,General,,This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter Three Liabilities of Controller and Processor Article (8) The Controller shall abide by the following: 1.,Law No. (13) of 2016  on Protecting Personal Data Privacy - English (1).pdf,8,law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english_(1)
