control_id,type,topic,clause,statement,doc_title,page,doc_id,category,control_type,severity,policy_tags,implementation_hint
QCB-PDP-P3-I0,SHALL,General,,"This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter One Definitions and General Provisions Article (1) For the implementation of the provisions hereof, the following terms and words shall have such meanings assigned to the same, unless otherwise required by context: Ministry: Ministry of Transport and Communications.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,3,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Regulatory Interpretation,Legal,Low,Regulatory Interpretation; Law,Review and apply the official law from the Official Gazette as the primary source.
QCB-PDP-P3-I5,MAY,Data Protection,,"Controller: a natural or legal person who, whether acting individually or jointly with others, determines how Personal Data may be processed and determines the purpose(s) of any suc h processing Personal Data Processing.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,3,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Governance,Governance,High,DataPrivacyPolicy; DataProtectionPolicy,Assign clear roles and responsibilities for data processing.
QCB-PDP-P5-I4,SHALL,Data Protection,,"Article (2) Provisions hereof shall apply to Personal Data when it is electronically processed, or obtained, gathered or extracted in preparation in any other way for electronic processing, or w hen processed via a combination of electronic and traditional processing.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,5,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Technical,High,GDPR; Data Protection,Ensure all data handling processes are compliant with the article's provisions.
QCB-PDP-P5-I5,SHALL,Data Protection,,"Provisions hereof shall not apply to Personal Data processed by individuals within a private or a family scope, or to any Personal Data processed for the purpose of obtaining official statistical data as per provisions of the referred to law No (2) of 2011.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,5,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Privacy,Legal,Medium,GDPR; DataPrivacy,"Review and exclude personal data processed within private or family scopes, and for official statistical data as per law No (2) of 2011."
QCB-PDP-P6-I0,SHALL,Data Protection,,"This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter Two Rights of Individuals Article (3) Each Individual has the right to the protection of the Personal Data thereof that shall be processed only within the framework of transparency, honesty, and respect of human dignity, and acceptable practices according to provisions hereof.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,6,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Governance,High,DataPrivacy; LegalCompliance,Ensure all data processing activities comply with the Official Gazette 15 of 2016 and Article 3 of Chapter Two.
QCB-PDP-P6-I1,SHALL,Data Protection,,"Article (4) The Controller shall process Personal Data only after obtaining the consent of the Individual, unless data processing is necessar y to achieve a Lawful Purpose for the Controller or the other recipient of such data.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,6,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Processing,Operational,Medium,DataPrivacyPolicy; ConsentManagement,Ensure data processing activities are reviewed for necessity and documented.
QCB-PDP-P7-I3,SHALL,General,,A request so made shall be accompanied with proof of the accuracy of such request.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,7,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Authorization and Validation,Operational,Medium,DataAccuracy; Authorization,Verify request proof before processing
QCB-PDP-P7-I9,SHALL,Data Protection,,Obtain a copy of the Personal Data thereof after paying an amount that shall not exceed the service charge.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,7,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Access Control,Operational,High,DataPrivacyPolicy; DataAccessControlPolicy,Review and update service charge and data access policies
QCB-PDP-P7-I10,SHALL,General,,"Article (7) The controls and procedures, related to individuals’ exercise of rights provided for in the two preceding Articles , shall be specified by a decision of the Minister.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,7,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Governance,Governance,Medium,DataPrivacy; DataAccess,Develop and publish a ministerial decision specifying controls and procedures for individual rights.
QCB-PDP-P8-I0,SHALL,General,,This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Chapter Three Liabilities of Controller and Processor Article (8) The Controller shall abide by the following: 1.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,8,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Governance,Governance,Medium,DataCompliance; LegalAgreement,Review and comply with the official law as stated in the Official Gazette.
QCB-PDP-P8-I7,SHALL,Data Protection,,"The privacy protecting policies developed by the Competent Department, and a decision thereon shall be issued by the Minister.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,8,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Protection,Governance,High,DataPrivacyPolicy; MinisterialDecision,"Ensure all policies are reviewed and updated by the Competent Department, and decisions are made by the Minister."
QCB-PDP-P9-I5,SHALL,Data Protection,,"Comprehensive and accurate description of the processing activities and the levels of disclosure of such Personal Data for the Lawful Purposes, and if the Controller fails to do so, the Controller shall provide the Individual with a general description there of.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,9,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Transparency,Governance,Medium,DataPrivacyPolicy; DataTransparency,Ensure all processing activities are documented and disclosed as required by law.
QCB-PDP-P9-I8,SHALL,Data Protection,,"Article (10) The Controller shall verify that Personal Data that he collects, or being collected for the benefit thereof, is relevant to Lawful Purposes and adequate for achieving the same.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,9,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Collection,Governance,Medium,DataPrivacy; DataCompliance,Ensure all collected data is reviewed against the lawful purposes and relevance criteria.
QCB-PDP-P9-I10,SHALL,Data Protection,,"In addition, the Controller shall not keep any Personal Data for a period of time that exce eds the necessary period for achieving such purposes.",NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,9,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Retention,Governance,Medium,DataPrivacyPolicy; DataRetentionPolicy,Review and update retention policies to ensure compliance with data retention periods.
QCB-PDP-P10-I0,SHALL,General,,This document is not official and the official version of the law is the one published in the Official Gazette number 15 of year 2016 that is available on almeezan.qa Article (11) The Controller shall take the following procedures: 1.,NCSA-NCGAA-Law No. (13) of 2016  on Protecting Personal Data Privacy - English.pdf,10,ncsa-ncgaa-law_no._(13)_of_2016__on_protecting_personal_data_privacy_-_english,Data Governance,Governance,Medium,DataCompliance; LegalRequirements,Review and implement the procedures outlined in the Official Gazette as per Article (11)
