control_id,type,topic,clause,statement,doc_title,page,doc_id,category,control_type,severity,policy_tags,implementation_hint
QCB-DCP-P1-I0,MAY,General,,VERSION3.0 MAY NATIONAL DATA CLASSIFICATION POLICY [IAP-NAT-DCLS],NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,1,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification; Security Policy,Implement a comprehensive data classification system to ensure all national data is properly categorized and secured.
QCB-DCP-P3-I2,SHALL,General,,Any reproduction of the present document either in part or full and irrespective of the means of reproduction; shall acknowledge NCSA as the source and owner of the “National Data Classification Policy”.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,3,ncsa_csga_national_data_classification_policy_en_v3.0,Legal,Technical,Low,Data Classification Policy,Acknowledge NCSA as the source and owner of the 'National Data Classification Policy'.
QCB-DCP-P3-I3,SHALL,General,,Any reproduction concerning this document with intent of commercialization shall seek a written authorization from the NCSA.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,3,ncsa_csga_national_data_classification_policy_en_v3.0,Legal,Governance,High,NCSA; Commercialization,Seek written authorization from NCSA before reproducing this document for commercial use.
QCB-DCP-P3-I4,SHALL,General,,NCSA shall reserve the right to assess the functionality and applicability of all such reproductions developed for commercial intent.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,3,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Legal,Low,Software Licensing; Commercial Use,Ensure that all software developed for commercial use complies with NCSA's licensing policies.
QCB-DCP-P3-I5,SHALL,Assurance & Audit,,The authorization from NCSA shall not be construed as an endorsement of the developed reproduction and the developer shall in no way publicize or misinterpret this in any form of media or personal / social discussions.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,3,ncsa_csga_national_data_classification_policy_en_v3.0,Legal,Governance,Low,NCSA Authorization; Public Discourse,Ensure that the authorization from NCSA is treated as non-endorsing and do not publicize or misinterpret it.
QCB-DCP-P4-I1,MAY,Regulatory Approval,,Abstract Review/Approval DateVersionReviewed/ApprovedDept./RoleName May 20233.0 National Cyber Governance and Assurance Affairs Director of National Cyber Governance and Assurance Affairs Revision History DateRevision DescriptionAuthor(s)Version January 2010 PublishedictQATAR1.0 February 2014PublishedMOTC2.0 May 2023PublishedNCSA – National Cyber Governance & Assurance Affairs3.0,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,4,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,National Cyber Governance; National Cyber Governance and Assurance,Ensure all abstract review and approval dates are up-to-date and accurate.
QCB-DCP-P5-I7,SHALL,General,,"In the event, a conflict arises between this document (specific provision or clauses) and the laws of Qatar, the latter (law), shall take precedence.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,5,ncsa_csga_national_data_classification_policy_en_v3.0,Legal,Governance,High,Qatar Laws Compliance,Ensure that all legal documents comply with the laws of Qatar.
QCB-DCP-P5-I8,SHALL,General,,"Any such term (specific provision or clauses), to that extent shall be deemed omitted from this document, without affecting the remaining provisions of this document.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,5,ncsa_csga_national_data_classification_policy_en_v3.0,Legal,Technical,Low,Contract Law,Remove the specific provision or clauses from the document without altering the rest of the document.
QCB-DCP-P5-I9,SHALL,General,,Amendments in that case shall then be required to ensure compliance with the relevant applicable laws of the State of Qatar.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,5,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Legal,Low,Compliance; Legal Requirements,Ensure compliance with Qatar's laws through amendments.
QCB-DCP-P7-I6,MUST,General,,"Therefore, the need for data management is the cornerstone that organizations must implement by having a comprehensive overview and establishing the foundations for managing data in a business environment.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,7,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Management; Compliance,Establish a data management framework to ensure compliance with regulations.
QCB-DCP-P8-I2,MAY,General,,"It cannot be hidden that without the use of a unified system and methodology for classifying data, all organizations will have different levels of asset protection, with no defined interpretations, which may hinder the business flow especially since data is mobile in nature.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,8,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Protection; Security Practices,Implement a standardized data classification system to ensure uniform protection and clear interpretations.
QCB-DCP-P9-I14,MUST,General,,"The National Information Assurance Standard is the complementary document to this document, which clarifies the main controls that organizations must take after they classify the data, which is updated according to the Procedures Fellowed.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,9,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification; Compliance,Ensure adherence to the National Information Assurance Standard for updated data classification controls.
QCB-DCP-P10-I3,MUST,General,,Data Classification Principles This policy is based on the following set of core principles that must be considered when classifying data: Principle 1: Understanding the nature of data Understanding data is the starting point in the methodology used to classify data.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification; Data Protection,Ensure all data is clearly labeled and categorized based on its sensitivity.
QCB-DCP-P10-I4,MAY,General,,"It is important to understand data as it may have a bearing on the way it is handled, stored, secured, processed, or exchanged.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0,Data Handling,Technical,Low,Data Security; Data Handling Practices,Implement data classification and labeling to ensure proper handling and storage.
QCB-DCP-P10-I9,MUST,General,,"Therefore, the process of classifying data must consider data lifecycle.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification; Data Lifecycle Management,Implement a data classification system that tracks and categorizes data based on its lifecycle stages.
QCB-DCP-P10-I12,MUST,Risk Management,,"Therefore, risk assessment is one of the basic principles that must be considered when classifying data, which determines the sensitivity and importance of this data for the work carried out by the organization.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Protection; Risk Management,Implement data classification based on risk assessment to ensure compliance with organizational policies.
QCB-DCP-P10-I15,MUST,General,,"The data classification process must achieve the most appropriate classification level which is as low as possible but as high as necessary, along with the necessary level of protection without exaggeration and without adding any administrative, financial, or technical burdens that may constitute an obstacle to the conduct of business within the organization.",NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,10,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Technical,Low,Data Classification; Risk Management,"Ensure data is classified to the lowest appropriate level necessary, with the appropriate level of protection without unnecessary administrative, financial, or technical burdens."
QCB-DCP-P11-I3,MUST,Governance,,A high-level governance must be established across the organization with clearly defined roles and responsibilities for the different stakeholders within the organization.,NCSA_CSGA_National_Data_Classification_Policy_EN_V3.0.pdf,11,ncsa_csga_national_data_classification_policy_en_v3.0,Governance,Legal,High,Data Governance; Role and Responsibility,Establish clear policies and procedures for governance roles and responsibilities across the organization.
